country,residence_type,service_type,time_period,coverage,population,service_level
Sudan,urban,Drinking water,2019.0,1.9695,297471.2559,Unimproved
Sudan,total,Sanitation,2020.0,36.8921,16395021.1464,At least basic
Sudan,rural,Sanitation,2020.0,24.2341,6973090.4456,At least basic
Sudan,urban,Sanitation,2020.0,60.1402,9421931.2826,At least basic
Sudan,total,Drinking water,2020.0,62.7441,27883787.8323,At least basic
Sudan,rural,Drinking water,2020.0,57.0894,16426820.8027,At least basic
Sudan,urban,Drinking water,2020.0,73.1299,11456968.0522,At least basic
Sudan,total,Hygiene,2020.0,12.5113,5560078.52,Basic service
Sudan,total,Sanitation,2020.0,8.3687,3719068.9471,Limited service
Sudan,rural,Sanitation,2020.0,6.3995,1841384.2708,Limited service
Sudan,urban,Sanitation,2020.0,11.9853,1877684.8102,Limited service
Sudan,total,Drinking water,2020.0,27.8937,12396087.4909,Limited service
Sudan,rural,Drinking water,2020.0,29.4656,8478384.4895,Limited service
Sudan,urban,Drinking water,2020.0,25.0067,3917703.4644,Limited service
Sudan,total,Sanitation,2020.0,17.2988,7687682.205,Open defecation
Sudan,rural,Sanitation,2020.0,23.636,6800988.7576,Open defecation
Sudan,urban,Sanitation,2020.0,5.6598,886693.7457,Open defecation
Sudan,total,Drinking water,2020.0,3.1972,1420855.7477,Surface water
Sudan,rural,Drinking water,2020.0,4.5711,1315281.2668,Surface water
Sudan,urban,Drinking water,2020.0,0.6739,105574.5364,Surface water
Sudan,total,Sanitation,2020.0,37.4404,16638713.7016,Unimproved
Sudan,rural,Sanitation,2020.0,45.7304,13158418.526,Unimproved
Sudan,urban,Sanitation,2020.0,22.2147,3480295.1615,Unimproved
Sudan,total,Drinking water,2020.0,6.165,2739754.9291,Unimproved
Sudan,rural,Drinking water,2020.0,8.874,2553395.441,Unimproved
Sudan,urban,Drinking water,2020.0,1.1895,186358.947,Unimproved
Sudan,total,Drinking water,2021.0,63.882,29166738.1881,At least basic
Sudan,rural,Drinking water,2021.0,58.4028,17174193.442,At least basic
Sudan,urban,Drinking water,2021.0,73.7968,11992545.2946,At least basic
Sudan,total,Hygiene,2021.0,10.7626,4913893.7934,Basic service
Sudan,total,Drinking water,2021.0,28.3963,12964969.9182,Limited service
Sudan,rural,Drinking water,2021.0,30.1435,8864126.3607,Limited service
Sudan,urban,Drinking water,2021.0,25.2348,4100843.7864,Limited service
Sudan,total,Drinking water,2021.0,2.7329,1247759.5705,Surface water
Sudan,rural,Drinking water,2021.0,3.9343,1156930.2135,Surface water
Sudan,urban,Drinking water,2021.0,0.5589,90829.3754,Surface water
Sudan,total,Drinking water,2021.0,4.9888,2277734.3233,Unimproved
Sudan,rural,Drinking water,2021.0,7.5194,2211183.9838,Unimproved
Sudan,urban,Drinking water,2021.0,0.4095,66549.5436,Unimproved
Sudan,total,Drinking water,2022.0,64.9201,30430768.544,At least basic
Sudan,rural,Drinking water,2022.0,59.7163,17926913.526,At least basic
Sudan,urban,Drinking water,2022.0,74.1888,12503854.3968,At least basic
Sudan,total,Hygiene,2022.0,10.7626,5044874.6313,Basic service
Sudan,total,Drinking water,2022.0,28.8609,13528314.1845,Limited service
Sudan,rural,Drinking water,2022.0,30.8214,9252628.2115,Limited service
Sudan,urban,Drinking water,2022.0,25.3688,4275685.6322,Limited service
Sudan,total,Drinking water,2022.0,2.2709,1064450.4591,Surface water
Sudan,rural,Drinking water,2022.0,3.2975,989900.4481,Surface water
Sudan,urban,Drinking water,2022.0,0.4423,74549.971,Surface water
Sudan,total,Drinking water,2022.0,3.9482,1850670.8124,Unimproved
Sudan,rural,Drinking water,2022.0,6.1648,1850671.8144,Unimproved
Sudan,urban,Drinking water,2022.0,0.0,0.0,Unimproved
